股票代码,名称,计划买入金额
000063,中兴通讯,50000
000090,天健集团,50000
000530,冰山冷热,50000
000600,建投能源,50000
000628,高新发展,50000
000692,惠天热电,50000
000720,新能泰山,50000
000791,甘肃能源,50000
000859,国风新材,50000
000920,沃顿科技,50000
002056,横店东磁,50000
002210,飞马国际,50000
002243,力合科创,50000
002263,大东南,50000
002350,北京科锐,50000
002397,梦洁股份,50000
002613,北玻股份,50000
002636,金安国纪,50000
002639,雪人集团,50000
002640,跨境通,50000
002669,康达新材,50000
002688,金河生物,50000
002806,华锋股份,50000
002857,三晖电气,50000
002871,伟隆股份,50000
002878,元隆雅图,50000
600032,浙江新能,50000
600063,皖维高新,50000
600110,诺德股份,50000
600151,航天机电,50000
600162,香江控股,50000
600176,中国巨石,50000
600237,铜峰电子,50000
600360,华微电子,50000
600459,贵研铂业,50000
600527,江南高纤,50000
600589,大位科技,50000
600982,宁波能源,50000
601101,昊华能源,50000
601369,陕鼓动力,50000
601588,北辰实业,50000
601958,金钼股份,50000
603011,合锻智能,50000
603032,德新科技,50000
603050,科林电气,50000
603267,鸿远电子,50000
603458,勘设股份,50000
603527,众源新材,50000
603678,火炬电子,50000
603757,大元泵业,50000
603861,白云电器,50000
603955,大千生态,50000
603977,国泰集团,50000
603988,中电电机,50000
605580,恒盛能源,50000
